San Miguel,CONVERSACION,53
San Miguel,CALLE_CERRADA,3
San Miguel,PELIGRO_GENERAL,190
San Ramón,POLICIA,64
San Ramón,ACCIDENTE,3
San Ramón,CONGESTION,75
San Ramón,CONVERSACION,12
San Ramón,PELIGRO_GENERAL,38
Cerro Navia,POLICIA,52
Cerro Navia,ACCIDENTE,4
Cerro Navia,CONGESTION,55
Cerro Navia,CONVERSACION,8
Cerro Navia,CALLE_CERRADA,14
Cerro Navia,PELIGRO_GENERAL,19
La Cisterna,POLICIA,146
La Cisterna,ACCIDENTE,4
La Cisterna,CONGESTION,346
La Cisterna,CONVERSACION,40
La Cisterna,CALLE_CERRADA,51
La Cisterna,PELIGRO_GENERAL,86
Peñalolén,POLICIA,173
Peñalolén,ACCIDENTE,15
Peñalolén,CONGESTION,565
Peñalolén,CONVERSACION,16
Peñalolén,CALLE_CERRADA,40
Peñalolén,PELIGRO_GENERAL,261
Providencia,POLICIA,278
Providencia,ACCIDENTE,27
Providencia,CONGESTION,1557
Providencia,CONVERSACION,115
Providencia,CALLE_CERRADA,16
Providencia,PELIGRO_GENERAL,566
Puente Alto,POLICIA,303
Puente Alto,ACCIDENTE,21
Puente Alto,CONGESTION,423
Puente Alto,CONVERSACION,31
Puente Alto,CALLE_CERRADA,12
Puente Alto,PELIGRO_GENERAL,326
Lo Barnechea,POLICIA,49
Lo Barnechea,ACCIDENTE,6
Lo Barnechea,CONGESTION,410
Lo Barnechea,CONVERSACION,11
Lo Barnechea,CALLE_CERRADA,11
Lo Barnechea,PELIGRO_GENERAL,114
María Pinto,POLICIA,1
San Bernardo,POLICIA,276
San Bernardo,ACCIDENTE,15
San Bernardo,CONGESTION,397
San Bernardo,CONVERSACION,33
San Bernardo,CALLE_CERRADA,1
San Bernardo,PELIGRO_GENERAL,258
San Joaquín,POLICIA,110
San Joaquín,ACCIDENTE,6
San Joaquín,CONGESTION,183
San Joaquín,CONVERSACION,24
San Joaquín,CALLE_CERRADA,9
San Joaquín,PELIGRO_GENERAL,124
Independencia,POLICIA,147
Independencia,ACCIDENTE,6
Independencia,CONGESTION,142
Independencia,CONVERSACION,42
Independencia,CALLE_CERRADA,11
Independencia,PELIGRO_GENERAL,125
Isla de Maipo,POLICIA,8
Isla de Maipo,CONGESTION,2
Isla de Maipo,CALLE_CERRADA,1
